"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,VISITANTES,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"R CALIENTE",not_delivering,300000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICAEX 🟢F2 (13) ADVANTAGE | CAPTACION | VENTAS A WEB | REGISTRO | VIDEOS | IG | 08 FEB 2025 Conjunto de anuncios",not_delivering,36000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - marketing",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - finanzas",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR CALIENTE",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,2025-05-07T13:29:26-0500,0,,0,
2025-11-01,2026-03-20,"SIMILAR REPR VID",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR SEGUIDORES",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"PROMT INDIRECTO",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"PROMT DIRECTO",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,2026-01-09T16:06:16-0500,0,,0,
2025-11-01,2026-03-20,"PUBLICO CALIENTE",not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-06,-,0,ABSOLUTE_OCPM,2025-06-06T17:09:24-0500,0,,0,
2025-11-01,2026-03-20,TRIFASICO,not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-06,-,0,ABSOLUTE_OCPM,2025-06-06T17:09:23-0500,0,,0,
2025-11-01,2026-03-20,"PUBLICO TIBIO",not_delivering,10000,Diario,0,0,0,0,,0,,,,,"En curso",2025-06-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - INDIRECTO",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - DIRECTO",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"EFFICOMMERCE - ADVTG - ABIERTO",not_delivering,25000,Diario,0,0,0,0,,0,,,,,"En curso",2025-10-23,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",not_delivering,27600,Diario,180397,19241,8878,329,143,1.464294,1261.517483,53,actions:offsite_conversion.fb_pixel_complete_registration,3403.71698113,"En curso",2025-11-27,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,0,9375.656151,,2.167267,
2025-11-01,2026-03-20,"IG OSWALDO - ADVTG - PROMPT DIRECTO",active,"Con el presupuesto de la campaña",0,4640,1488,1258,3,,0,,713,video_thruplay_watched_actions,6.50771388,"En curso",2026-03-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,3118.27957,,1.18283,
2025-11-01,2026-03-20,"IG JUAN - ADVTG - ABIERTO",active,"Con el presupuesto de la campaña",0,9431,2391,1835,2,,0,,1433,video_thruplay_watched_actions,6.58129798,"En curso",2026-03-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,3944.374739,,1.302997,
2025-11-01,2026-03-20,Broad,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-24,-,0,ABSOLUTE_OCPM,2024-11-26T14:17:53-0500,0,,0,
2025-11-01,2026-03-20,SEGUIDORES,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"R CALIENTE",not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,VISITAS,not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"directo 2",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-01-10,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"directo 2",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-01-10,-,0,CPA,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - marketing",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,2025-05-07T13:27:30-0500,0,,0,
2025-11-01,2026-03-20,"CAEX - SIMILAR SEGUIDORES",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - INDIRECTO - bienestar",not_delivering,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (35 - 45)",not_delivering,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - DIRECTO - logistica",not_delivering,18000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",not_delivering,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"CAEX - ADVANTAGE (25 - 45)",inactive,12000,Diario,0,0,0,0,,0,,,,,"En curso",2025-02-08,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"PROMT DIRECTO",not_delivering,6600,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-06,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"PROMT INDIRECTO",not_delivering,6600,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-06,-,0,ABSOLUTE_OCPM,2025-07-04T15:06:02-0500,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,6600,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-06,-,0,ABSOLUTE_OCPM,2025-07-04T17:10:17-0500,0,,0,
2025-11-01,2026-03-20,"EFFI ADV-",not_delivering,6250,Diario,0,0,0,0,,0,,,,,"En curso",2025-07-24,-,0,ABSOLUTE_OCPM,2025-07-24T07:03:47-0500,0,,0,
2025-11-01,2026-03-20,"ADVTG - DIRECTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-16,-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,0,,0,
2025-11-01,2026-03-20,"ADVTG - ABIERTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-16,-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,0,,0,
2025-11-01,2026-03-20,"ADVTG - INDIRECTO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",2025-10-16,-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,0,,0,
2025-11-01,2026-03-20,"ADVTG - PROMPT DIRECTO - IMAGEN - Copia",not_delivering,"Con el presupuesto de la campaña",0,75734,4145,2702,74,42,1.443375,1803.190476,11,actions:offsite_conversion.fb_pixel_complete_registration,6884.90909091,"En curso",2025-11-10,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2025-11-10T09:49:26-0500,18271.170084,,1.534049,
2025-11-01,2026-03-20,"EFFICOMMERCE - RMKT TRIFASICO",not_delivering,"Con el presupuesto de la campaña",0,74342,2383,1016,24,8,0.688976,9292.75,3,actions:onsite_conversion.messaging_conversation_started_7d,24780.66666667,"En curso",2025-11-10,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-10T15:19:55-0500,31196.810743,,2.345472,
2025-11-01,2026-03-20,"ADVTG - ABIERTO - Registro",active,"Con el presupuesto de la campaña",0,59142,2973,2248,121,62,2.580071,953.903226,1,actions:offsite_conversion.fb_pixel_complete_registration,59142,"En curso",2026-03-20,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,0,19893.037336,,1.322509,
2025-11-01,2026-03-20,"R Caliente",not_delivering,100000,Diario,0,0,0,0,,0,,,,,"En curso",2024-11-25,-,0,ABSOLUTE_OCPM,0,0,,0,
