"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"IMG 1",not_delivering,"Con el presupuesto de la campaña",0,113540,7766,3977,145,82,2.011567,1384.634146,78,actions:offsite_conversion.fb_pixel_complete_registration,1455.64102564,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T19:33:13-0500,-,-,-,"EFFIWOMAN - ADVTG - PROMPT DIRECTO - IMAGEN",14620.139068,,1.952728,
2025-11-01,2026-03-20,"IMG 2",not_delivering,"Con el presupuesto de la campaña",0,30490,2457,1424,39,23,1.474719,1325.652174,11,actions:offsite_conversion.fb_pixel_complete_registration,2771.81818182,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T19:33:13-0500,-,-,-,"EFFIWOMAN - ADVTG - PROMPT DIRECTO - IMAGEN",12409.442409,,1.725421,
2025-11-01,2026-03-20,"IMG 3",inactive,"Con el presupuesto de la campaña",0,13775,965,686,14,8,1.166181,1721.875,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T19:33:13-0500,-,-,-,"EFFIWOMAN - ADVTG - PROMPT DIRECTO - IMAGEN",14274.611399,,1.406706,
2025-11-01,2026-03-20,"IMG 2",not_delivering,20000,Diario,8109,400,346,4,3,0.867052,2703,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-03T12:02:55-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",20272.5,,1.156069,
2025-11-01,2026-03-20,"IMG 1",not_delivering,20000,Diario,2606,219,207,4,3,1.449275,868.666667,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-03T12:02:55-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",11899.543379,,1.057971,
2025-11-01,2026-03-20,"VID 1",not_delivering,20000,Diario,14823,985,716,21,8,1.117318,1852.875,1,actions:offsite_conversion.fb_pixel_complete_registration,14823,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-03T12:02:55-0500,Promedio,Promedio,Promedio,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",15048.730964,,1.375698,
2025-11-01,2026-03-20,"IMG 1",not_delivering,15000,Diario,27950,2786,1887,56,34,1.642819,822.058824,24,actions:offsite_conversion.fb_pixel_complete_registration,1164.58333333,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-09T00:26:17-0500,-,-,-,"GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",10032.304379,,1.476418,
2025-11-01,2026-03-20,"vid 1 - Copia",not_delivering,15000,Diario,55792,9081,3956,360,58,1.314459,961.931034,23,actions:offsite_conversion.fb_pixel_complete_registration,2425.73913043,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-09T00:26:17-0500,Promedio,"Por encima del promedio","Por encima del promedio","GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",6143.81676,,2.295501,
2025-11-01,2026-03-20,"IMG 1 - Copia",not_delivering,15000,Diario,14329,1532,1075,20,11,1.023256,1302.636364,5,actions:offsite_conversion.fb_pixel_complete_registration,2865.8,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-17T15:55:27-0500,Promedio,Promedio,"Por encima del promedio","GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",9353.133159,,1.425116,
2025-11-01,2026-03-20,"IMG 2",not_delivering,"Con el presupuesto de la campaña",0,794,61,55,0,,0,,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",13016.393443,,1.109091,
